final_model,status,risk,probability,agreement,reason,lstm_prob,rf_prob,agreement_score
Both Models,Normal,Low,0.03527282923460007,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03448446840047836,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03266134113073349,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02568439207971096,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02434920147061348,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.022180628031492233,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.022936074063181877,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Anomaly,High,0.8946153846153847,Low,Decision based on Random Forest with threshold logic,0.02139025554060936,0.8946153846153847,0.12677487092522466
Both Models,Normal,Low,0.019745847210288048,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02208271436393261,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02239271067082882,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02278360165655613,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0231213066726923,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02154705487191677,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020045973360538483,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019544506445527077,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019834719598293304,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01832694001495838,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018368830904364586,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02345598116517067,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.029220562428236008,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.023368654772639275,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.023501209914684296,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0409703254699707,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.07081083208322525,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
LSTM,Suspicious,Medium,0.10154738277196884,High,Decision based on LSTM with threshold logic,0.10154738277196884,0.0019530464708339362,0.9004056636988651
LSTM,Suspicious,Medium,0.10344526916742325,High,Decision based on LSTM with threshold logic,0.10344526916742325,0.0005618884126333962,0.8971166192452101
LSTM,Suspicious,Medium,0.07671395689249039,High,Decision based on LSTM with threshold logic,0.07671395689249039,0.0009953427749845166,0.9242813858824941
LSTM,Suspicious,Medium,0.08505212515592575,High,Decision based on LSTM with threshold logic,0.08505212515592575,0.0032444882299164355,0.9181923630739907
LSTM,Suspicious,Medium,0.16544735431671143,High,Decision based on LSTM with threshold logic,0.16544735431671143,0.0032925926468589132,0.8378452383301475
LSTM,Suspicious,Medium,0.21662969887256622,Low,Decision based on LSTM with threshold logic,0.21662969887256622,0.0017415458232027741,0.7851118469506365
LSTM,Suspicious,Medium,0.18361346423625946,High,Decision based on LSTM with threshold logic,0.18361346423625946,0.0007651537647297608,0.8171516895284703
LSTM,Suspicious,Medium,0.17123669385910034,High,Decision based on LSTM with threshold logic,0.17123669385910034,0.004799274221990705,0.8335625803628903
LSTM,Suspicious,Medium,0.09518258273601532,High,Decision based on LSTM with threshold logic,0.09518258273601532,0.001648199319479995,0.9064656165834647
Both Models,Normal,Low,0.05783654749393463,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03538055345416069,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.022158576175570488,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Suspicious,Medium,0.4368105772380905,Low,Decision based on Random Forest with threshold logic,0.019285351037979126,0.4368105772380905,0.5824747737998885
Both Models,Normal,Low,0.018027644604444504,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.016361074522137642,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018157681450247765,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018493544310331345,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0185985304415226,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018227864056825638,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020041421055793762,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.022781794890761375,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.026108913123607635,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0242708008736372,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.023419637233018875,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02127116173505783,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.021201178431510925,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02330133318901062,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.026918241754174232,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.028226211667060852,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.022197499871253967,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.017988169565796852,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018767183646559715,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018364889547228813,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.017247909680008888,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.016051188111305237,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01559089682996273,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.014988577924668789,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.015208312310278416,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01618220843374729,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.016808435320854187,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.017995517700910568,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018028156831860542,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019587932154536247,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02254117839038372,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03574267774820328,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.05714372918009758,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
LSTM,Suspicious,Medium,0.08020433783531189,High,Decision based on LSTM with threshold logic,0.08020433783531189,0.004915820706069842,0.924711482870758
LSTM,Suspicious,Medium,0.14055024087429047,High,Decision based on LSTM with threshold logic,0.14055024087429047,0.0010387772109588832,0.8604885363366684
LSTM,Suspicious,Medium,0.11588534712791443,High,Decision based on LSTM with threshold logic,0.11588534712791443,0.006370889858433097,0.8904855427305187
LSTM,Suspicious,Medium,0.09305157512426376,High,Decision based on LSTM with threshold logic,0.09305157512426376,0.010870223439204909,0.9178186483149411
Both Models,Normal,Low,0.059770941734313965,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.04595516249537468,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.05458743870258331,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.043141353875398636,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.026177940890192986,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018125483766198158,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.017441976815462112,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018962405622005463,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01715965010225773,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01905282959342003,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020564861595630646,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020769471302628517,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019223609939217567,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01785731501877308,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01821543648838997,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019104579463601112,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.021151481196284294,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.025030074641108513,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.030751094222068787,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0315077044069767,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.032675568014383316,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03805428743362427,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.04022105038166046,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03273359686136246,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0303422249853611,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.029605315998196602,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.10268273880681072,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02180122584104538,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020399991422891617,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03571392479159488,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Anomaly,High,0.5578054572530813,Low,Decision based on Random Forest with threshold logic,0.02668130211532116,0.5578054572530813,0.4688758448622399
Both Models,Normal,Low,0.02327628619968891,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018367977812886238,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.016806552186608315,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.017208995297551155,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0161029901355505,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.015249674208462238,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.014584640972316265,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01602844148874283,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.024279791861772537,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03873961791396141,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.04110560938715935,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03931676968932152,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.038188569247722626,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.029694844037294388,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02413201332092285,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.031652048230171204,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03953127562999725,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.04836873710155487,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
LSTM,Suspicious,Medium,0.07585201412439346,High,Decision based on LSTM with threshold logic,0.07585201412439346,0.0018105399597322888,0.9259585258353389
LSTM,Suspicious,Medium,0.0818425863981247,High,Decision based on LSTM with threshold logic,0.0818425863981247,0.0015453660439547958,0.9197027796458301
Both Models,Normal,Low,0.054181843996047974,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.044680189341306686,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.037364427000284195,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.024020150303840637,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01991710625588894,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020029885694384575,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019240546971559525,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019382456317543983,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02186504378914833,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.021379679441452026,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019593507051467896,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.016877371817827225,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01629679836332798,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01840239018201828,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.022575054317712784,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.023295581340789795,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.022528300061821938,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019099825993180275,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01827196404337883,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.028497466817498207,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Anomaly,High,0.7103716638594435,Low,Decision based on Random Forest with threshold logic,0.04589788615703583,0.7103716638594435,0.3355262222975923
Both Models,Normal,Low,0.049560531973838806,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
LSTM,Suspicious,Medium,0.10094860196113586,High,Decision based on LSTM with threshold logic,0.10094860196113586,0.0009234244688999517,0.8999748225077641
LSTM,Suspicious,Medium,0.29204097390174866,Low,Decision based on LSTM with threshold logic,0.29204097390174866,0.004042778106735869,0.7120018042049872
LSTM,Suspicious,Medium,0.48092120885849,Low,Decision based on LSTM with threshold logic,0.48092120885849,0.0014383432958106513,0.5205171344373207
LSTM,Anomaly,High,0.5565656423568726,Low,Decision based on LSTM with threshold logic,0.5565656423568726,0.0002909715233612039,0.44372532916648866
LSTM,Suspicious,Medium,0.48891481757164,Low,Decision based on LSTM with threshold logic,0.48891481757164,0.001026151429791634,0.5121113338581516
Random Forest,Anomaly,High,0.756953643340447,Low,Decision based on Random Forest with threshold logic,0.40499383211135864,0.756953643340447,0.6480401887709116
LSTM,Suspicious,Medium,0.44124293327331543,Low,Decision based on LSTM with threshold logic,0.44124293327331543,0.07427697807675114,0.6330340448034357
LSTM,Anomaly,High,0.5081667900085449,Low,Decision based on LSTM with threshold logic,0.5081667900085449,0.000823070008020775,0.4926562799994758
LSTM,Suspicious,Medium,0.3827207684516907,Low,Decision based on LSTM with threshold logic,0.3827207684516907,0.009732993100600338,0.6270122246489096
LSTM,Suspicious,Medium,0.2284410297870636,Low,Decision based on LSTM with threshold logic,0.2284410297870636,0.012670538685485101,0.7842295088984215
Random Forest,Anomaly,High,0.7955633255633257,Low,Decision based on Random Forest with threshold logic,0.15913112461566925,0.7955633255633257,0.3635677990523436
LSTM,Suspicious,Medium,0.22528493404388428,Low,Decision based on LSTM with threshold logic,0.22528493404388428,0.018320561761950786,0.7930356277180666
LSTM,Suspicious,Medium,0.25529658794403076,Low,Decision based on LSTM with threshold logic,0.25529658794403076,0.015062763521166539,0.7597661755771358
Random Forest,Anomaly,High,0.6158487343171819,Low,Decision based on Random Forest with threshold logic,0.18634560704231262,0.6158487343171819,0.5704968727251307
Random Forest,Anomaly,High,0.8885311889282904,Low,Decision based on Random Forest with threshold logic,0.15678896009922028,0.8885311889282904,0.26825777117092986
Random Forest,Anomaly,High,0.8678758040741005,Low,Decision based on Random Forest with threshold logic,0.1762283593416214,0.8678758040741005,0.3083525552675209
LSTM,Suspicious,Medium,0.18082481622695923,High,Decision based on LSTM with threshold logic,0.18082481622695923,0.008176748242623521,0.8273519320156643
LSTM,Suspicious,Medium,0.1845530867576599,High,Decision based on LSTM with threshold logic,0.1845530867576599,0.006726370024674802,0.8221732832670149
LSTM,Suspicious,Medium,0.1242121160030365,High,Decision based on LSTM with threshold logic,0.1242121160030365,0.10913119998027028,0.9849190839772338
Random Forest,Anomaly,High,0.8,Low,Decision based on Random Forest with threshold logic,0.0638304352760315,0.8,0.26383043527603145
Both Models,Normal,Low,0.03727816790342331,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Anomaly,High,0.7773767682176532,Low,Decision based on Random Forest with threshold logic,0.02385660447180271,0.7773767682176532,0.2464798362541495
Random Forest,Anomaly,High,0.7594452403891023,Low,Decision based on Random Forest with threshold logic,0.02443421445786953,0.7594452403891023,0.2649889740687672
Random Forest,Anomaly,High,0.7401274950565596,Low,Decision based on Random Forest with threshold logic,0.03776818886399269,0.7401274950565596,0.2976406938074331
Both Models,Normal,Low,0.0483248345553875,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Suspicious,Medium,0.344807216333405,Low,Decision based on Random Forest with threshold logic,0.03910130262374878,0.344807216333405,0.6942940862903437
Both Models,Normal,Low,0.09626497375548922,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.029115092009305954,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Suspicious,Medium,0.375955333906986,Low,Decision based on Random Forest with threshold logic,0.028497692197561264,0.375955333906986,0.6525423582905753
Both Models,Normal,Low,0.023211732506752014,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01988271437585354,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019115718081593513,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.279529748511709,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01909351907670498,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01881551183760166,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.017429420724511147,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01671675406396389,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01965213194489479,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.025157038122415543,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.023588594049215317,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.024020778015255928,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.024392103776335716,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.021751053631305695,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03107505664229393,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.029937511309981346,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.025241278111934662,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02085711434483528,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01878482475876808,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02033390663564205,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.01972443424165249,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.017430685766588683,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
